iter	Passed	Remaining
494	1116	1138
495	1118	1136
496	1120	1134
497	1123	1132
498	1125	1129
499	1127	1127
500	1129	1124
501	1131	1122
502	1133	1120
503	1135	1117
504	1138	1116
505	1140	1113
506	1143	1111
507	1145	1109
508	1147	1107
509	1149	1104
510	1152	1102
511	1154	1100
512	1156	1098
513	1159	1095
514	1161	1093
515	1163	1091
516	1165	1089
517	1168	1086
518	1170	1084
519	1172	1082
520	1174	1079
521	1176	1077
522	1179	1075
523	1181	1073
524	1183	1070
525	1185	1068
526	1188	1066
527	1190	1063
528	1192	1061
529	1194	1059
530	1196	1056
531	1198	1054
532	1201	1052
533	1203	1050
534	1205	1047
535	1207	1045
536	1210	1043
537	1212	1041
538	1214	1038
539	1216	1036
540	1218	1033
541	1221	1031
542	1223	1029
543	1225	1027
544	1227	1024
545	1229	1022
546	1232	1020
547	1234	1018
548	1236	1016
549	1239	1013
550	1241	1011
551	1243	1009
552	1246	1007
553	1248	1004
554	1250	1002
555	1253	1001
556	1255	998
557	1258	996
558	1260	994
559	1262	992
560	1265	990
561	1267	987
562	1269	985
563	1272	983
564	1274	981
565	1276	979
566	1279	976
567	1281	974
568	1283	972
569	1285	970
570	1288	968
571	1291	966
572	1293	963
573	1295	961
574	1297	958
575	1299	956
576	1301	954
577	1304	952
578	1306	949
579	1308	947
580	1310	945
581	1312	942
582	1315	940
583	1317	938
584	1319	936
585	1321	933
586	1324	931
587	1327	929
588	1329	927
589	1331	925
590	1333	923
591	1336	920
592	1338	918
593	1340	916
594	1343	914
595	1345	912
596	1347	909
597	1350	907
598	1352	905
599	1354	903
600	1356	900
601	1359	898
602	1361	896
603	1363	893
604	1365	891
605	1367	889
606	1370	887
607	1372	884
608	1374	882
609	1376	880
610	1378	877
611	1381	875
612	1383	873
613	1385	871
614	1387	868
615	1390	866
616	1392	864
617	1394	861
618	1396	859
619	1398	857
620	1401	855
621	1403	852
622	1405	850
623	1408	848
624	1410	846
625	1412	844
626	1414	841
627	1417	839
628	1419	837
629	1421	835
630	1424	832
631	1426	830
632	1428	828
633	1430	825
634	1433	823
635	1436	821
636	1438	819
637	1440	817
638	1443	815
639	1445	812
640	1447	810
641	1449	808
642	1451	806
643	1453	803
644	1456	801
645	1458	799
646	1460	796
647	1463	794
648	1465	792
649	1467	790
650	1469	787
651	1471	785
652	1474	783
653	1476	781
654	1478	778
655	1480	776
656	1483	774
657	1485	771
658	1487	769
659	1489	767
660	1491	765
661	1494	762
662	1496	760
663	1499	758
664	1501	756
665	1503	753
666	1505	751
667	1507	749
668	1510	747
669	1512	744
670	1514	742
671	1517	740
672	1519	738
673	1521	736
674	1523	733
675	1526	731
676	1528	729
677	1530	726
678	1532	724
679	1534	722
680	1537	720
681	1539	717
682	1541	715
683	1544	713
684	1546	711
685	1548	708
686	1550	706
687	1552	704
688	1555	701
689	1556	699
690	1559	697
691	1561	694
692	1563	692
693	1565	690
694	1568	688
695	1570	685
696	1572	683
697	1574	681
698	1577	679
699	1579	676
700	1582	674
701	1584	672
702	1587	670
703	1589	668
704	1591	666
705	1593	663
706	1596	661
707	1598	659
708	1600	657
709	1603	654
710	1605	652
711	1607	650
712	1609	647
713	1611	645
714	1614	643
715	1617	641
716	1619	639
717	1621	636
718	1623	634
719	1626	632
720	1628	630
721	1630	627
722	1632	625
723	1635	623
724	1637	621
725	1639	618
726	1641	616
727	1644	614
728	1646	612
729	1648	609
730	1650	607
731	1652	605
732	1654	602
733	1657	600
734	1660	598
735	1662	596
736	1664	593
737	1666	591
738	1669	589
739	1671	587
740	1673	584
741	1675	582
742	1678	580
743	1680	578
744	1682	575
745	1684	573
746	1686	571
747	1689	569
748	1691	566
749	1694	564
750	1696	562
751	1699	560
752	1701	558
753	1703	555
754	1705	553
755	1708	551
756	1710	549
757	1713	546
758	1715	544
759	1717	542
760	1719	540
761	1721	537
762	1723	535
763	1726	533
764	1728	530
765	1730	528
766	1733	526
767	1736	524
768	1738	522
769	1740	520
770	1743	517
771	1745	515
772	1747	513
773	1750	511
774	1752	508
775	1754	506
776	1756	504
777	1758	501
778	1761	499
779	1763	497
780	1765	495
781	1767	492
782	1770	490
783	1772	488
784	1774	486
785	1777	483
786	1779	481
787	1781	479
788	1783	477
789	1786	474
790	1788	472
791	1790	470
792	1792	467
793	1794	465
794	1797	463
795	1799	461
796	1802	458
797	1804	456
798	1806	454
799	1808	452
800	1811	449
801	1813	447
802	1815	445
803	1817	443
804	1820	440
805	1822	438
806	1824	436
807	1826	434
808	1829	431
809	1831	429
810	1833	427
811	1836	425
812	1838	422
813	1840	420
814	1843	418
815	1845	416
816	1848	414
817	1850	411
818	1853	409
819	1855	407
820	1858	405
821	1860	402
822	1862	400
823	1865	398
824	1867	396
825	1869	393
826	1872	391
827	1874	389
828	1877	387
829	1879	384
830	1882	382
831	1884	380
832	1886	378
833	1889	376
834	1891	373
835	1894	371
836	1896	369
837	1898	367
838	1901	364
839	1903	362
840	1905	360
841	1907	357
842	1910	355
843	1912	353
844	1914	351
845	1916	348
846	1919	346
847	1921	344
848	1923	342
849	1925	339
850	1928	337
851	1931	335
852	1933	333
853	1935	330
854	1937	328
855	1939	326
856	1942	324
857	1944	321
858	1946	319
859	1949	317
860	1951	315
861	1954	312
862	1956	310
863	1958	308
864	1961	306
865	1963	303
866	1965	301
867	1967	299
868	1970	297
869	1972	294
870	1974	292
871	1976	290
872	1979	287
873	1981	285
874	1983	283
875	1986	281
876	1988	278
877	1991	276
878	1994	274
879	1996	272
880	1998	269
881	2001	267
882	2004	265
883	2006	263
884	2008	260
885	2010	258
886	2013	256
887	2015	254
888	2017	251
889	2019	249
890	2022	247
891	2024	245
892	2026	242
893	2028	240
894	2030	238
895	2033	235
896	2035	233
897	2037	231
898	2039	229
899	2041	226
900	2043	224
901	2046	222
902	2048	220
903	2050	217
904	2053	215
905	2056	213
906	2058	211
907	2060	208
908	2062	206
909	2065	204
910	2067	201
911	2069	199
912	2071	197
913	2074	195
914	2076	192
915	2078	190
916	2080	188
917	2082	186
918	2085	183
919	2087	181
920	2089	179
921	2091	176
922	2094	174
923	2096	172
924	2098	170
925	2100	167
926	2103	165
927	2106	163
928	2109	161
929	2111	158
930	2113	156
931	2116	154
932	2118	152
933	2120	149
934	2122	147
935	2125	145
936	2127	143
937	2129	140
938	2132	138
939	2134	136
940	2136	133
941	2138	131
942	2141	129
943	2143	127
944	2145	124
945	2147	122
946	2149	120
947	2152	118
948	2154	115
949	2156	113
950	2158	111
951	2160	108
952	2162	106
953	2165	104
954	2167	102
955	2169	99
956	2171	97
957	2174	95
958	2176	93
959	2178	90
960	2180	88
961	2183	86
962	2185	83
963	2187	81
964	2189	79
965	2191	77
966	2193	74
967	2195	72
968	2197	70
969	2199	68
970	2201	65
971	2204	63
972	2207	61
973	2209	58
974	2211	56
975	2213	54
976	2215	52
977	2218	49
978	2220	47
979	2223	45
980	2225	43
981	2227	40
982	2230	38
983	2232	36
984	2234	34
985	2236	31
986	2239	29
987	2241	27
988	2244	24
989	2246	22
990	2248	20
991	2250	18
992	2252	15
993	2254	13
994	2256	11
995	2259	9
996	2261	6
997	2265	4
998	2267	2
999	2269	0
