iter	Logloss
0	0.6755024326
1	0.6527185194
2	0.6324499794
3	0.6137990068
4	0.5976819362
5	0.5825229294
6	0.5702755368
7	0.5560198061
8	0.5430969173
9	0.52986431
10	0.5210392856
11	0.5061302179
12	0.4971505656
13	0.4873066465
14	0.4803304367
15	0.4734074418
16	0.4664166854
17	0.4589138841
18	0.453813917
19	0.4473648176
20	0.4408438767
21	0.4353119783
22	0.4313366687
23	0.4266905053
24	0.4201936778
25	0.415907255
26	0.4120948549
27	0.4091232036
28	0.4064042309
29	0.4018806714
30	0.3990353815
31	0.3945138152
32	0.3908369082
33	0.387629325
34	0.3834931187
35	0.3810141447
36	0.3784549658
37	0.3761177302
38	0.3740804064
39	0.3724893203
40	0.3705068128
41	0.3686846133
42	0.3669031649
43	0.3652298747
44	0.3632282967
45	0.3615417506
46	0.3605937869
47	0.3592267863
48	0.3558150587
49	0.3545106997
50	0.3529578467
51	0.3516551
52	0.3501660074
53	0.3492750652
54	0.3484977696
55	0.347631151
56	0.3465702399
57	0.3458184018
58	0.3447588535
59	0.3436879943
60	0.3425430913
61	0.3410108241
62	0.3403809843
63	0.3397627667
64	0.339216427
65	0.3384511473
66	0.3377687664
67	0.3369879258
68	0.3364801291
69	0.3358599585
70	0.3351017396
71	0.3345579233
72	0.3337705924
73	0.3331156154
74	0.332518211
75	0.3320274189
76	0.3314693557
77	0.3309832442
78	0.3305085691
79	0.3300395316
80	0.3293318381
81	0.3287961302
82	0.3281098475
83	0.3277490381
84	0.3272791017
85	0.3270147533
86	0.3264986752
87	0.3261386575
88	0.3255115558
89	0.3250672311
90	0.3248634681
91	0.3246346272
92	0.3240521813
93	0.3237411221
94	0.3234865995
95	0.3230539648
96	0.3226789063
97	0.3221542078
98	0.3218471197
99	0.3214235542
100	0.3211663015
101	0.3207360766
102	0.3203953907
103	0.3200430426
104	0.3196464035
105	0.3191415857
106	0.3184897399
107	0.3180908862
108	0.3178053934
109	0.3175295546
110	0.3171665283
111	0.3167703945
112	0.3166116415
113	0.31627608
114	0.3160590433
115	0.3156728108
116	0.3149716467
117	0.3140949871
118	0.3138404488
119	0.3135179551
120	0.3132654839
121	0.3129822259
122	0.3127488453
123	0.3123757833
124	0.3121023386
125	0.3119942793
126	0.3116313263
127	0.3114051019
128	0.3105928213
129	0.3103684706
130	0.3100233991
131	0.3097469838
132	0.3095119332
133	0.3091137501
134	0.3089641548
135	0.3086921004
136	0.3079745307
137	0.3078402802
138	0.307740182
139	0.3076335003
140	0.3074586001
141	0.3071992715
142	0.3067881939
143	0.3062016182
144	0.3059872007
145	0.3057855755
146	0.3054949093
147	0.3051559762
148	0.3048115254
149	0.3045899839
150	0.3042804089
151	0.3040556708
152	0.3038424748
153	0.3035143364
154	0.3032883307
155	0.3030349094
156	0.3028863182
157	0.3026354212
158	0.3024387009
159	0.3021005082
160	0.301863145
161	0.3015602475
162	0.3011433893
163	0.3009712289
164	0.300645644
165	0.300394838
166	0.3001846085
167	0.3000772599
168	0.2998879143
169	0.2997152365
170	0.2994706345
171	0.2993160134
172	0.2989409148
173	0.2987976744
174	0.2985446204
175	0.2981686903
176	0.2979204154
177	0.2977302961
178	0.2974582065
179	0.2972858229
180	0.2971238029
181	0.2968132983
182	0.296505585
183	0.2962999939
184	0.2960404577
185	0.2958339042
186	0.2957608192
187	0.2957173408
188	0.2955627608
189	0.2954263601
190	0.2951903009
191	0.295066501
192	0.2947931004
193	0.2946052912
194	0.2944145869
195	0.2943609127
196	0.2940424433
197	0.2939410106
198	0.2936707391
199	0.2935011434
200	0.2933365818
201	0.2930962837
202	0.2927605265
203	0.2925067895
204	0.2922926329
205	0.2920351234
206	0.2917712057
207	0.2915361395
208	0.2912492099
209	0.2910368926
210	0.2908998715
211	0.2907131922
212	0.2905784245
213	0.2903621192
214	0.2902758291
215	0.2901641638
216	0.290004073
217	0.2897915667
218	0.289659274
219	0.2894922837
220	0.289256236
221	0.2890321854
222	0.2888518755
223	0.2887263927
224	0.2885658997
225	0.2884799562
226	0.2883339456
227	0.2882238689
228	0.2879876519
229	0.2877825728
230	0.2876092291
231	0.287550115
232	0.287330174
233	0.2871591808
234	0.2870533681
235	0.2868011835
236	0.2865987845
237	0.2865276314
238	0.2863020882
239	0.286056528
240	0.2858764743
241	0.2856354372
242	0.285407205
243	0.2852904215
244	0.2850743995
245	0.2849684827
246	0.284644049
247	0.284426148
248	0.2842872912
249	0.2841828581
250	0.2841124831
251	0.2835380097
252	0.2834211901
253	0.2832850666
254	0.2831330372
255	0.282907373
256	0.2827324966
257	0.282550515
258	0.2824152964
259	0.2823282954
260	0.2821798475
261	0.2820383007
262	0.2819150496
263	0.2817757263
264	0.2817234785
265	0.2815568602
266	0.2813438743
267	0.2812276588
268	0.2810441323
269	0.2809145581
270	0.2807665043
271	0.280591796
272	0.2804025605
273	0.2803065242
274	0.280222569
275	0.2799422022
276	0.2797711876
277	0.2796629951
278	0.2795235507
279	0.2793811748
280	0.279192717
281	0.2790911481
282	0.2789797559
283	0.2788415095
284	0.2786820582
285	0.27844427
286	0.2782786122
287	0.278021911
288	0.2778085126
289	0.2775407221
290	0.2773929373
291	0.2771947929
292	0.2770827464
293	0.2767171133
294	0.2765830849
295	0.2762792618
296	0.2761520312
297	0.2759728859
298	0.2759069795
299	0.2757864856
300	0.2755080215
301	0.2753676754
302	0.2752253925
303	0.2751125869
304	0.2748604835
305	0.2746856173
306	0.2744925121
307	0.2742978248
308	0.2738436601
309	0.2736253942
310	0.2734789192
